iter	Passed	Remaining
0	57	57743
1	58	29149
2	59	19658
3	59	14846
4	60	11953
5	60	10016
6	60	8630
7	61	7596
8	61	6789
9	62	6145
10	62	5616
11	62	5181
12	63	4817
13	63	4497
14	64	4222
15	64	3985
16	65	3771
17	65	3581
18	66	3411
19	66	3256
20	66	3118
21	67	2990
22	67	2875
23	68	2770
24	68	2675
25	68	2584
26	69	2501
27	69	2424
28	70	2352
29	70	2284
30	71	2221
31	71	2165
32	72	2111
33	72	2061
34	73	2012
35	73	1968
36	73	1924
37	74	1883
38	74	1844
39	75	1806
40	75	1769
41	76	1737
42	76	1706
43	77	1676
44	77	1648
45	78	1623
46	78	1598
47	79	1571
48	79	1545
49	80	1521
50	80	1496
51	80	1474
52	81	1452
53	81	1430
54	82	1410
55	82	1390
56	82	1372
57	83	1354
58	83	1336
59	84	1319
60	84	1303
61	85	1287
62	85	1272
63	86	1258
64	86	1243
65	87	1231
66	87	1217
67	87	1204
68	88	1191
69	88	1178
70	89	1166
71	89	1154
72	90	1144
73	90	1133
74	91	1123
75	91	1116
76	92	1106
77	92	1096
78	93	1087
79	93	1079
80	94	1070
81	94	1060
82	94	1049
83	95	1040
84	95	1032
85	96	1025
86	96	1017
87	97	1008
88	97	1001
89	98	993
90	98	986
91	99	978
92	99	972
93	100	965
94	100	959
95	101	954
96	101	947
97	102	941
98	102	935
99	103	929
100	103	924
101	104	920
102	104	914
103	105	909
104	106	905
105	106	900
106	107	896
107	108	892
108	108	886
109	108	881
110	109	876
111	109	870
112	110	866
113	111	862
114	111	858
115	112	856
116	112	851
117	113	848
118	114	845
119	114	841
120	115	836
121	115	831
122	116	828
123	116	823
124	117	819
125	117	815
126	117	810
127	118	806
128	119	804
129	119	800
130	120	797
131	120	794
132	121	790
133	121	787
134	122	783
135	122	780
136	123	777
137	123	772
138	124	768
139	124	765
140	125	762
141	125	758
142	126	756
143	126	753
144	127	752
145	128	749
146	128	746
147	129	743
148	129	739
149	129	736
150	130	733
151	130	729
152	131	726
153	131	724
154	132	721
155	133	719
156	133	716
157	134	715
158	134	713
159	135	711
160	135	708
161	136	705
162	136	702
163	137	700
164	137	697
165	138	694
166	138	692
167	139	690
168	139	687
169	140	686
170	141	686
171	142	683
172	142	681
173	142	678
174	143	676
175	143	674
176	144	671
177	144	669
178	145	667
179	146	665
180	146	663
181	147	662
182	147	660
183	149	663
184	150	662
185	150	660
186	151	658
187	151	655
188	152	653
189	153	652
190	153	650
191	154	649
192	155	648
193	155	646
194	156	647
195	158	648
196	158	646
197	159	645
198	159	643
199	160	641
200	161	641
201	162	641
202	163	640
203	163	639
204	164	637
205	164	635
206	165	633
207	165	631
208	166	630
209	167	628
210	167	627
211	168	625
212	168	624
213	169	622
214	170	621
215	170	620
216	171	618
217	172	618
218	173	618
219	174	618
220	175	617
221	175	616
222	176	614
223	177	613
224	177	612
225	178	611
226	179	610
227	179	608
228	180	607
229	180	605
230	181	603
231	181	602
232	182	600
233	183	600
234	184	600
235	185	601
236	186	599
237	187	600
238	188	598
239	188	597
240	189	596
241	190	597
242	191	596
243	191	594
244	192	593
245	193	592
246	193	590
247	194	589
248	194	587
249	195	586
250	195	584
251	196	583
252	197	581
253	197	580
254	199	581
255	199	580
256	200	579
257	201	578
258	201	576
259	202	575
260	202	573
261	203	572
262	204	573
263	205	572
264	206	573
265	207	571
266	207	569
267	208	568
268	208	566
269	209	565
270	209	563
271	209	561
272	210	560
273	210	558
274	211	556
275	211	554
276	212	553
277	212	552
278	213	550
279	213	548
280	213	547
281	214	545
282	214	543
283	215	542
